Customer_Index,Cluster,Churn_Probability,Recommendations
0,3,0.6397,Promote yearly subscription plans | Provide onboarding support & welcome discount
1,3,0.5641,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
2,0,0.5934,Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
3,0,0.4504,Promote yearly subscription plans | Provide personalized pricing / bundle offers
4,2,0.2646,Promote yearly subscription plans | Provide personalized pricing / bundle offers
5,3,0.4077,Promote yearly subscription plans | Provide onboarding support & welcome discount
6,3,0.916,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
7,3,0.5173,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
8,2,0.3804,Promote yearly subscription plans | Provide personalized pricing / bundle offers
9,3,0.8541,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
10,0,0.6316,Promote yearly subscription plans | Promote Online Security + Tech Support package
11,3,0.5335,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
12,2,0.4028,Promote yearly subscription plans | Provide personalized pricing / bundle offers
13,0,0.4666,Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
14,0,0.6779,Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Recommend bundled services to increase value | Promote Online Security + Tech Support package
15,0,0.2675,Promote yearly subscription plans | Provide personalized pricing / bundle offers
16,3,0.3671,Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
17,0,0.5114,Promote yearly subscription plans | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
18,0,0.5147,Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
19,0,0.7314,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
20,3,0.3501,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
21,3,0.3394,Promote yearly subscription plans
22,3,0.4206,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
23,0,0.4299,Promote yearly subscription plans | Provide personalized pricing / bundle offers
24,2,0.2563,Provide personalized pricing / bundle offers
25,2,0.2143,Promote yearly subscription plans | Provide personalized pricing / bundle offers
26,3,0.3129,Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
27,0,0.5347,Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
28,3,0.6464,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
29,1,0.3428,Promote yearly subscription plans
30,0,0.6533,Promote yearly subscription plans
31,3,0.9208,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
32,3,0.7633,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
33,3,0.6197,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
34,0,0.5546,Promote yearly subscription plans | Provide onboarding support & welcome discount
35,3,0.8417,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
36,0,0.4592,Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
37,1,0.2534,Promote yearly subscription plans | Provide personalized pricing / bundle offers
38,3,0.4174,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
39,1,0.5191,Promote yearly subscription plans
40,0,0.7587,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
41,2,0.551,Provide personalized pricing / bundle offers
42,3,0.297,Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
43,3,0.1553,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
44,3,0.7407,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
45,0,0.3716,Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
46,1,0.2563,Promote yearly subscription plans
47,3,0.9077,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
48,0,0.5984,Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
49,0,0.6836,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
50,0,0.2526,Promote yearly subscription plans | Provide personalized pricing / bundle offers
51,3,0.7483,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
52,3,0.5295,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
53,3,0.6155,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
54,3,0.8131,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
55,0,0.6048,Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
56,3,0.7848,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount
57,0,0.3826,Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
58,3,0.7197,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Recommend bundled services to increase value
59,3,0.7305,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
60,3,0.889,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
61,3,0.8815,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
62,3,0.8015,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
63,3,0.8777,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
64,0,0.8689,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
65,3,0.0277,Recommend bundled services to increase value | Promote Online Security + Tech Support package
66,0,0.7799,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
67,3,0.7749,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
68,3,0.8578,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
69,0,0.8877,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
70,2,0.7881,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
71,0,0.7329,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
72,3,0.9233,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
73,3,0.7451,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
74,3,0.549,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
75,3,0.7634,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
76,3,0.8661,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
77,0,0.9471,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
78,3,0.8072,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
79,0,0.8845,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Recommend bundled services to increase value | Promote Online Security + Tech Support package
80,2,0.1255,Provide personalized pricing / bundle offers
81,0,0.8386,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
82,2,0.1521,Provide personalized pricing / bundle offers
83,3,0.8982,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
84,3,0.8625,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
85,3,0.8671,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
86,2,0.2254,Stay connected with loyalty offers
87,2,0.3347,Provide personalized pricing / bundle offers
88,2,0.7457,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
89,0,0.9558,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
90,0,0.8631,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
91,3,0.6112,Promote yearly subscription plans | Recommend bundled services to increase value
92,0,0.7403,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Recommend bundled services to increase value | Promote Online Security + Tech Support package
93,3,0.4516,Promote yearly subscription plans | Recommend bundled services to increase value
94,0,0.8324,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
95,0,0.9454,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
96,0,0.8161,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
97,3,0.6776,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
98,0,0.9506,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
99,3,0.346,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
100,1,0.6067,Promote yearly subscription plans | Provide personalized pricing / bundle offers
101,1,0.5202,Promote yearly subscription plans | Recommend bundled services to increase value
102,2,0.6485,Promote yearly subscription plans | Provide personalized pricing / bundle offers
103,3,0.6051,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
104,3,0.6131,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
105,3,0.9062,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
106,0,0.7167,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
